,Author,collaborators
33,S A Vasconcelos,"['M M Pereira', 'M G Matsuo', 'A R Bauab', 'Z M Moraes', 'G Baranton', 'I Saint Girons']"
34,Z M Moraes,"['M M Pereira', 'M G Matsuo', 'A R Bauab', 'S A Vasconcelos', 'G Baranton', 'I Saint Girons']"
35,G Baranton,"['M M Pereira', 'M G Matsuo', 'A R Bauab', 'S A Vasconcelos', 'Z M Moraes', 'I Saint Girons', 'F Merien', 'J Truccolo', 'P Perolat', 'A Perra', 'V Servas', 'G Terrier', 'D Postic', 'G André-Fontaine', 'V Vaillant', 'I Capek', 'Z Majed', 'E Bellenger', 'C Pourcel', 'M Picardeau', 'A Berlioz-Arthaud', 'F Mérien']"
36,I Saint Girons,"['M M Pereira', 'M G Matsuo', 'A R Bauab', 'S A Vasconcelos', 'Z M Moraes', 'G Baranton', 'C Werts', 'R I Tapping', 'J C Mathison', 'T H Chuang', 'V Kravchenko', 'D A Haake', 'P J Godowski', 'F Hayashi', 'A Ozinsky', 'D M Underhill', 'C J Kirschning', 'H Wagner', 'A Aderem', 'P S Tobias', 'R J Ulevitch', 'M Picardeau', 'A Brenot', 'H Louvel', 'S Bommezzadri', 'N Zidane', 'C Boursaux-Eude', 'S Creno', 'A Magnier', 'Z Rouy', 'C Médigue', 'C Bouchier']"
37,S H Park,"['B Y Ahn', 'M J Kim']"
38,B Y Ahn,"['S H Park', 'M J Kim']"
39,M J Kim,"['S H Park', 'B Y Ahn', 'S H Lee', 'K A Kim', 'Y G Park', 'I W Seong', 'Y J Lee']"
40,G V Mel'nik,"[""L D Degtiar'"", 'R E Andreev', 'L I Zhukova']"
41,L D Degtiar',"[""G V Mel'nik"", 'R E Andreev', 'L I Zhukova']"
42,R E Andreev,"[""G V Mel'nik"", ""L D Degtiar'""]"
43,E Mancel,"['F Merien', 'L Pesenti', 'D Salino', 'G Angibaud', 'P Perolat']"
44,F Merien,"['E Mancel', 'L Pesenti', 'D Salino', 'G Angibaud', 'P Perolat', 'J Truccolo', 'G Baranton', 'O Serais']"
45,L Pesenti,"['E Mancel', 'F Merien', 'D Salino', 'G Angibaud', 'P Perolat']"
46,D Salino,"['E Mancel', 'F Merien', 'L Pesenti', 'G Angibaud', 'P Perolat']"
47,G Angibaud,"['E Mancel', 'F Merien', 'L Pesenti', 'D Salino', 'P Perolat']"
48,P Perolat,"['E Mancel', 'F Merien', 'L Pesenti', 'D Salino', 'G Angibaud', 'J Truccolo', 'G Baranton', 'O Serais']"
49,C A Adin,['L D Cowgill']
50,L D Cowgill,['C A Adin']
51,M J Ribotta,"['R Higgins', 'M Gottschalk', 'R Lallier']"
52,R Higgins,"['M J Ribotta', 'M Gottschalk', 'R Lallier']"
53,M Gottschalk,"['M J Ribotta', 'R Higgins', 'R Lallier']"
54,R Lallier,"['M J Ribotta', 'R Higgins', 'M Gottschalk']"
55,D Cheng,['H Pan']
56,H Pan,['D Cheng']
