,Author,collaborators
416,G I Kirchner,"['N Krug', 'J S Bleck', 'D Fliser', 'M P Manns', 'S Wagner']"
417,N Krug,"['G I Kirchner', 'J S Bleck', 'D Fliser', 'M P Manns', 'S Wagner']"
418,J S Bleck,"['G I Kirchner', 'N Krug', 'D Fliser', 'M P Manns', 'S Wagner']"
419,D Fliser,"['G I Kirchner', 'N Krug', 'J S Bleck', 'M P Manns', 'S Wagner']"
420,M P Manns,"['G I Kirchner', 'N Krug', 'J S Bleck', 'D Fliser', 'S Wagner', 'S Pischke', 'U Ehmer', 'I Schedel', 'W F Gratz', 'H Wedemeyer', 'S Ziesing', 'F C Bange', 'G D Burchard', 'M J Bahr', 'C P Strassburg']"
421,S Wagner,"['G I Kirchner', 'N Krug', 'J S Bleck', 'D Fliser', 'M P Manns']"
422,S C Wang,['Y M Wang']
423,Y M Wang,['S C Wang']
424,B Chatrenet,"['C Branger', 'C Sonrier', 'B Klonjkowski', 'N Ruvoen-Clouet', 'A Aubert', 'G André-Fontaine', 'M Eloit', 'A Gauvrit', 'F Aviat', 'J M Bach', 'S Rochereau-Roulet', 'J M Estavoyer', 'J L Orsonneau', 'C Thorin', 'G Andre-Fontaine']"
425,B Klonjkowski,"['C Branger', 'C Sonrier', 'B Chatrenet', 'N Ruvoen-Clouet', 'A Aubert', 'G André-Fontaine', 'M Eloit']"
426,N Ruvoen-Clouet,"['C Branger', 'C Sonrier', 'B Chatrenet', 'B Klonjkowski', 'A Aubert', 'G André-Fontaine', 'M Eloit', 'V Michel', 'A Menard', 'C Fillonneau', 'F Rakotovao', 'J P Ganière']"
427,A Aubert,"['C Branger', 'C Sonrier', 'B Chatrenet', 'B Klonjkowski', 'N Ruvoen-Clouet', 'G André-Fontaine', 'M Eloit', 'A Gauvrit', 'F Aviat', 'J M Bach']"
428,M Eloit,"['C Branger', 'C Sonrier', 'B Chatrenet', 'B Klonjkowski', 'N Ruvoen-Clouet', 'A Aubert', 'G André-Fontaine']"
429,A Menard,"['V Michel', 'N Ruvoen-Clouet', 'C Sonrier', 'C Fillonneau', 'F Rakotovao', 'J P Ganière', 'G André-Fontaine']"
430,C Fillonneau,"['V Michel', 'N Ruvoen-Clouet', 'A Menard', 'C Sonrier', 'F Rakotovao', 'J P Ganière', 'G André-Fontaine', 'I Rodriguez-Gonzalez', 'B Blanchet', 'I Suard', 'P Catilina', 'G Andre-Fontaine']"
431,F Rakotovao,"['V Michel', 'N Ruvoen-Clouet', 'A Menard', 'C Sonrier', 'C Fillonneau', 'J P Ganière', 'G André-Fontaine']"
432,A R Katz,"['V E Ansdell', 'P V Effler', 'C R Middleton', 'D M Sasaki', 'F P Hurst', 'R T Neff', 'A E Buchholz', 'B W Berg', 'K C Abbott']"
433,L B Corbeil,['R H BonDurant']
434,R H BonDurant,['L B Corbeil']
435,B M Naiman,"['D Alt', 'C A Bolin', 'R Zuerner', 'C L Baldwin']"
436,D Alt,"['B M Naiman', 'C A Bolin', 'R Zuerner', 'C L Baldwin', 'Gillian D Alton', 'Olaf Berke', 'Richard Reid-Smith', 'Davor Ojkic', 'John F Prescott']"
437,R Zuerner,"['B M Naiman', 'D Alt', 'C A Bolin', 'C L Baldwin']"
438,C L Baldwin,"['B M Naiman', 'D Alt', 'C A Bolin', 'R Zuerner']"
439,A N Hamir,"['C A Hanlon', 'M Niezgoda', 'C E Rupprecht']"
440,C A Hanlon,"['A N Hamir', 'M Niezgoda', 'C E Rupprecht']"
441,M Niezgoda,"['A N Hamir', 'C A Hanlon', 'C E Rupprecht']"
442,C E Rupprecht,"['A N Hamir', 'C A Hanlon', 'M Niezgoda']"
443,F Velloso L de,"['B Flannery', 'M M Pereira', 'C Carvalho C de', 'L G De Codes', 'S Orrico G de', 'C M Dourado', 'L W Riley', 'M G Reis', 'A I Ko']"
444,C Carvalho C de,"['B Flannery', 'M M Pereira', 'F Velloso L de', 'L G De Codes', 'S Orrico G de', 'C M Dourado', 'L W Riley', 'M G Reis', 'A I Ko']"
445,L G De Codes,"['B Flannery', 'M M Pereira', 'F Velloso L de', 'C Carvalho C de', 'S Orrico G de', 'C M Dourado', 'L W Riley', 'M G Reis', 'A I Ko']"
446,S Orrico G de,"['B Flannery', 'M M Pereira', 'F Velloso L de', 'C Carvalho C de', 'L G De Codes', 'C M Dourado', 'L W Riley', 'M G Reis', 'A I Ko']"
447,C M Dourado,"['B Flannery', 'M M Pereira', 'F Velloso L de', 'C Carvalho C de', 'L G De Codes', 'S Orrico G de', 'L W Riley', 'M G Reis', 'A I Ko']"
448,O Serais,"['J Truccolo', 'F Merien', 'P Perolat']"
449,Seoung Hoon Lee,"['Sangduk Kim', 'Seung Chul Park', 'Min Ja Kim']"
450,Sangduk Kim,"['Seoung Hoon Lee', 'Seung Chul Park', 'Min Ja Kim']"
451,Seung Chul Park,"['Seoung Hoon Lee', 'Sangduk Kim', 'Min Ja Kim']"
452,Min Ja Kim,"['Seoung Hoon Lee', 'Sangduk Kim', 'Seung Chul Park']"
453,C S Abboud,['I Ferraretto']
454,I Ferraretto,['C S Abboud']
455,T Umapathi,"['P Vijayachari', 'A P Sugunan', 'S C Sehgal']"
456,M Sakamoto,"['H Sagara', 'N Koizumi', 'H Watanabe']"
457,H Sagara,"['M Sakamoto', 'N Koizumi', 'H Watanabe']"
458,N Koizumi,"['M Sakamoto', 'H Sagara', 'H Watanabe', 'C D Gamage', 'A K C Perera', 'M Muto', 'C Nwafor-Okoli', 'S Ranasinghe', 'S A M Kularatne', 'R P V J Rajapakse', 'K Kanda', 'R B Lee', 'Y Obayashi', 'M Ohnishi', 'H Tamashiro', 'G G T Nisansala', 'D Muthusinghe', 'T D C P Gunasekara', 'M M Weerasekera', 'S S N Fernando', 'K N P Ranasinghe', 'M G C P Marasinghe', 'P S Fernando']"
459,H Watanabe,"['M Sakamoto', 'H Sagara', 'N Koizumi']"
460,Patcharin Saengjaruk,"['Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Rongdej Tungtrakanpoung', 'Pannamthip Pitaksajjakul', 'Narisorn Na-Ngarm', 'Pattama Ekpo', 'Gunnar Froman', 'Pongrama Ramasoota', 'Santi Maneewatch', 'Surasak Jiemsup', 'Buppa Klaysing', 'Pongsri Tongtawe', 'Potjanee Srimanote', 'Sirinuch Banyen', 'Manas Chonsa-nguan', 'Pramaun Tapchaisri', 'Surasakdi Wongratanacheewin', 'Thaweesak Songserm', 'Surasakdi Wongratanachewin', 'Urai Chaisri', 'Poom Adisakwattana', 'Jeeraphong Thanongsaksrikul', 'Phakkanan Poungpan']"
461,Wanpen Chaicumpa,"['Patcharin Saengjaruk', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Pongrama Ramasoota', 'Rongdej Tungtrakanpoung', 'Pannamthip Pitaksajjakul', 'Pattama Ekpo', 'Gunnar Froman', 'Narisorn Na-Ngarm', 'Santi Maneewatch', 'Surasak Jiemsup', 'Buppa Klaysing', 'Pongsri Tongtawe', 'Potjanee Srimanote', 'Sirinuch Banyen', 'Manas Chonsa-nguan', 'Urai Chaisri', 'Thaweesak Songserm', 'Surasakdi Wongratanacheewin', 'Manas Chongsa-nguanz', 'Pramaun Tapchaisri', 'Andrew T Slack', 'Meegan L Symonds', 'Michael F Dohnt', 'Renee L Galloway', 'Arnold G Steigerwalt', 'Scott Craig', 'Bruce J Harrower', 'Lee D Smythe', 'Surasakdi Wongratanachewin', 'Poom Adisakwattana', 'Jeeraphong Thanongsaksrikul', 'Phakkanan Poungpan']"
462,George Watt,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Krisada Jongsakul', 'Chuanpit Suttinont', 'Ronnatrai Ruangvirayuth', 'Pacharee Kantipong', 'Khachornsakdi Silpapojakul', 'Tasawan Singhsilarak', 'Sawatdirak Phongtananant', 'Mongkol Jenjittikul', 'Noppadon Tangpakdee', 'Nantaporn Popak', 'Kobsiri Chalermrut', 'Somchai Looareesuwan']"
463,Gaysorn Bunyaraksyotin,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Andrew T Slack', 'Meegan L Symonds', 'Michael F Dohnt', 'Renee L Galloway', 'Arnold G Steigerwalt', 'Scott Craig', 'Bruce J Harrower', 'Lee D Smythe']"
464,Vanaporn Wuthiekanun,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Premjit Amornchai', 'Wirongrong Chierakul', 'Allen C Cheng', 'Nicholas J White', 'Sharon J Peacock', 'Nicholas P J Day', 'Yupin Suputtamongkol', 'Kanigar Niwattayakul', 'Chuanpit Suttinont', 'Kitti Losuwanaluk', 'Roongroeng Limpaiboon', 'Surapee Triengrim', 'Mongkol Chenchittikul', 'Direk Limmathurotsakul', 'Lee D Smythe', 'Meegan L Symonds', 'Michael F Dohnt', 'Andrew T Slack', 'Roongreung Limpaiboon', 'Nisa Sirisukkarn', 'Prayad Daengsupa', 'Prangyong Sakaraserane', 'Amornwadee Sangkakam', 'Nicholas P Day', 'Janjira Thaipadungpanit', 'Wimol Petkanchanapong', 'Roongrueng Limpaiboon', 'Apichat Apiwatanaporn', 'Edward J Feil', 'Panatsaya Tientadakul', 'Kriangsak Phimda', 'Nisarat Opartkiattikul', 'Surapee Tiengrim', 'Apichat Apiwattanaporn', 'Sunee Chueasuwanchai', 'Janjira Thaipadunpanit', 'Siriphan Boonslip', 'Alex R Hoffmaster', 'Piengchan Sonthayanon', 'Siriphan Boonsilp', 'Varunee Desakorn', 'Vipa Thanachartwet', 'Duangjai Sahassananda', 'Elizabeth L Turner', 'Ben Cooper', 'Daniel H Paris', 'Sayan Langla', 'Narisara Chantratita', 'Surapon Yimsamran', 'Wanchai Maneeboonyang', 'Prapin Tharnpoophasiam', 'Natnaree Saiprom', 'Pratap Singhasivanon', 'Vichaya Suttisunhakul', 'Paul J Brett', 'Srisin Khusmith', 'Mary N Burtnick', 'Alongkorn Kurilung', 'Pattrarat Chanchaithong', 'Kittitat Lugsomya', 'Waree Niyomtham', 'Nuvee Prapasarakul', 'Tri Wangrangsimakul', 'Thomas Althaus', 'Mavuto Mukaka', 'Pacharee Kantipong', 'Stuart D Blacksell', 'Achara Laongnualpanich']"
465,Pramuan Tapchaisri,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Santi Maneewatch', 'Surasak Jiemsup', 'Buppa Klaysing', 'Pongsri Tongtawe', 'Potjanee Srimanote', 'Sirinuch Banyen', 'Manas Chonsa-nguan', 'Urai Chaisri', 'Thaweesak Songserm', 'Surasakdi Wongratanacheewin', 'Manas Chongsa-nguanz', 'Surasakdi Wongratanachewin']"
466,Chuanpit Sittinont,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi']"
467,Thanachai Panaphut,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Somnuek Domrongkitchaiporn', 'Bandit Thinkamrop', 'Asda Vibhagool', 'Wattanachai Susaengrat']"
468,Kanchana Tomanakan,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Santi Maneewatch', 'Pongsri Tongtawe', 'Pramaun Tapchaisri']"
469,Yuwaporn Sakolvaree,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Santi Maneewatch', 'Surasak Jiemsup', 'Buppa Klaysing', 'Pongsri Tongtawe', 'Potjanee Srimanote', 'Sirinuch Banyen', 'Manas Chonsa-nguan', 'Urai Chaisri', 'Thaweesak Songserm', 'Surasakdi Wongratanacheewin', 'Manas Chongsa-nguanz', 'Pramaun Tapchaisri', 'Surasakdi Wongratanachewin', 'Poom Adisakwattana', 'Jeeraphong Thanongsaksrikul', 'Phakkanan Poungpan']"
470,Manas Chongsa-Nguan,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Santi Maneewatch', 'Potjanee Srimanote', 'Pongsri Tongtawe', 'Buppa Klaysing', 'Surasakdi Wongratanacheewin']"
471,Yuvadee Mahakunkijcharoen,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Janjira Thaipadungpanit', 'Narisara Chantratita', 'Surapon Yimsamran', 'Premjit Amornchai', 'Siriphan Boonsilp', 'Wanchai Maneeboonyang', 'Prapin Tharnpoophasiam', 'Natnaree Saiprom', 'Nicholas P J Day', 'Pratap Singhasivanon', 'Sharon J Peacock', 'Direk Limmathurotsakul']"
472,Thareerat Kalambaheti,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Potjanee Srimanote', 'Nattawut Wongdeethai', 'Pathumporn Jieanampunkul', 'Suwanna Samonkiert', 'Chaniya Leepiyasakulchai', 'Virapong Prachayasittikul', 'Andrew T Slack', 'Meegan L Symonds', 'Michael F Dohnt', 'Renee L Galloway', 'Arnold G Steigerwalt', 'Scott Craig', 'Bruce J Harrower', 'Lee D Smythe', 'Piyanart Chalayon', 'Phanita Chanket', 'Toungporn Boonchawalit', 'Siriporn Chattanadee', 'Piengchan Sonthayanon', 'Wirongrong Chierakul', 'Janjira Thaipadungpanit', 'Siriphan Boonsilp', 'Premjit Amornchai', 'Direk Limmathurotsakul', 'Nicholas P Day', 'Sharon J Peacock']"
473,Pimjai Naigowit,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Michael Angelo L Wambangco', 'Hisao Kurazono', 'Hideo Hayashi', 'Mayura Kusum', 'Naphatsawan Boonsarthorn', 'Mayurachat Biaklang', 'Umaporn Sina', 'Pathom Sawanpanyalert', 'Galayanee Doungchawee', 'Duangporn Phulsuksombat', 'Yuvaluk Khoaprasert', 'Noppadon Sangjun', 'Suraphol Kongtim', 'Lee Smythe', 'Uraiwan Kositanont', 'Songsak Rugsasuk', 'Amornrut Leelaporn', 'Duangporn Phulsuksombati', 'Sompong Tantitanawat', 'Naphatsawan Boonsathorn', 'Ganokrot Konghom', 'Kaveewan Mongkolsiri', 'Chanin Jirapongwattana', 'Kruavon Balachandra']"
474,Michael Angelo L Wambangco,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Hisao Kurazono', 'Hideo Hayashi']"
475,Hisao Kurazono,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hideo Hayashi']"
476,Hideo Hayashi,"['Patcharin Saengjaruk', 'Wanpen Chaicumpa', 'George Watt', 'Gaysorn Bunyaraksyotin', 'Vanaporn Wuthiekanun', 'Pramuan Tapchaisri', 'Chuanpit Sittinont', 'Thanachai Panaphut', 'Kanchana Tomanakan', 'Yuwaporn Sakolvaree', 'Manas Chongsa-Nguan', 'Yuvadee Mahakunkijcharoen', 'Thareerat Kalambaheti', 'Pimjai Naigowit', 'Michael Angelo L Wambangco', 'Hisao Kurazono']"
477,S V Trivedi,"['R K Chavda', 'P Z Wadia', 'V Sheth', 'P N Bhagade', 'S P Trivedi', 'A M Clerk', 'D M Mevawala', 'A Bhattacharya', 'K Amichandwala', 'V Jakkamsetti']"
478,R K Chavda,"['S V Trivedi', 'P Z Wadia', 'V Sheth', 'P N Bhagade', 'S P Trivedi', 'A M Clerk', 'D M Mevawala']"
479,P Z Wadia,"['S V Trivedi', 'R K Chavda', 'V Sheth', 'P N Bhagade', 'S P Trivedi', 'A M Clerk', 'D M Mevawala']"
480,V Sheth,"['S V Trivedi', 'R K Chavda', 'P Z Wadia', 'P N Bhagade', 'S P Trivedi', 'A M Clerk', 'D M Mevawala']"
481,P N Bhagade,"['S V Trivedi', 'R K Chavda', 'P Z Wadia', 'V Sheth', 'S P Trivedi', 'A M Clerk', 'D M Mevawala']"
482,S P Trivedi,"['S V Trivedi', 'R K Chavda', 'P Z Wadia', 'V Sheth', 'P N Bhagade', 'A M Clerk', 'D M Mevawala']"
483,A M Clerk,"['S V Trivedi', 'R K Chavda', 'P Z Wadia', 'V Sheth', 'P N Bhagade', 'S P Trivedi', 'D M Mevawala']"
484,D M Mevawala,"['S V Trivedi', 'R K Chavda', 'P Z Wadia', 'V Sheth', 'P N Bhagade', 'S P Trivedi', 'A M Clerk']"
485,H E Field,"['L D Smythe', 'L J Barnett', 'C S Smith', 'M F Dohnt', 'M L Symonds', 'M R Moore', 'P F Rolfe']"
486,L J Barnett,"['L D Smythe', 'H E Field', 'C S Smith', 'M F Dohnt', 'M L Symonds', 'M R Moore', 'P F Rolfe']"
487,C S Smith,"['L D Smythe', 'H E Field', 'L J Barnett', 'M F Dohnt', 'M L Symonds', 'M R Moore', 'P F Rolfe']"
488,M R Moore,"['L D Smythe', 'H E Field', 'L J Barnett', 'C S Smith', 'M F Dohnt', 'M L Symonds', 'P F Rolfe']"
489,P F Rolfe,"['L D Smythe', 'H E Field', 'L J Barnett', 'C S Smith', 'M F Dohnt', 'M L Symonds', 'M R Moore']"
490,Angela M Colagross-Schouten,"['Jonna A K Mazet', 'Frances M D Gulland', 'Melissa A Miller', 'Sharon Hietala']"
491,Jonna A K Mazet,"['Angela M Colagross-Schouten', 'Frances M D Gulland', 'Melissa A Miller', 'Sharon Hietala', 'Tania D Hunt', 'Michael H Ziccardi', 'Pamela K Yochem', 'David W Hird', 'Teresa Rowles']"
492,Frances M D Gulland,"['Angela M Colagross-Schouten', 'Jonna A K Mazet', 'Melissa A Miller', 'Sharon Hietala', 'Karina Acevedo-Whitehouse', 'Horacio de la Cueva', 'David Aurioles-Gamboa', 'Fausto Arellano-Carbajal', 'Francisco Suarez-Güemes', 'Kathleen M Colegrove', 'Linda J Lowenstine', 'James O Lloyd-Smith', 'Denise J Greig', 'George S Ghneim', 'Lauren Palmer', 'Judy St Leger', 'Bryan T Grenfell', 'Tania D Hunt', 'Michael H Ziccardi', 'Pamela K Yochem', 'David W Hird', 'Teresa Rowles', 'Stephanie A Norman', 'Ronald F DiGiacomo', 'John Scott Meschke', 'Mark S Lowry', 'Annalaura Mancia', 'James C Ryan', 'Robert W Chapman', 'Qingzhong Wu', 'Gregory W Warr', 'Frances M Van Dolah', 'K C Prager', 'David P Alt', 'Renee L Galloway', 'Richard L Hornsby', 'Lauren J Palmer', 'Jennifer Soper', 'Richard L Zuerner', 'Martha A Delaney', 'Terry R Spraker', 'Claire A Simeone', 'Tenaya Norris', 'Teresa K Rowles', 'Michael G Buhnerkempe', 'Katherine C Prager', 'Christopher C Strelioff', 'Jeff L Laake', 'Sharon R Melin', 'Robert L DeLong', 'Lizabeth Bowen']"
493,Melissa A Miller,"['Angela M Colagross-Schouten', 'Jonna A K Mazet', 'Frances M D Gulland', 'Sharon Hietala']"
494,Sharon Hietala,"['Angela M Colagross-Schouten', 'Jonna A K Mazet', 'Frances M D Gulland', 'Melissa A Miller', 'James O Lloyd-Smith', 'Denise J Greig', 'George S Ghneim', 'Lauren Palmer', 'Judy St Leger', 'Bryan T Grenfell']"
495,Johann Truccolo,"['Françoise Charavay', 'Fabrice Merien', 'Philippe Perolat']"
496,Françoise Charavay,"['Johann Truccolo', 'Fabrice Merien', 'Philippe Perolat', 'Denis Portnoi', 'Pascale Bourhy', 'Alain Berlioz-Arthaud', 'Guy Baranton']"
497,Fabrice Merien,"['Johann Truccolo', 'Françoise Charavay', 'Philippe Perolat', 'Denis Portnoi', 'Pascale Bourhy', 'Alain Berlioz-Arthaud', 'Guy Baranton', 'Frédérique Vernel-Pauillac', 'Wael F El-Tras', 'Mieghan Bruce', 'Hannah R Holt', 'Mahmoud M Eltholth']"
498,Philippe Perolat,"['Johann Truccolo', 'Françoise Charavay', 'Fabrice Merien']"
499,Kai-Chung Tse,"['Pok-Siu Yip', 'King-Men Hui', 'Fu-Keung Li', 'Kwok-Yung Yuen', 'Kar-Neng Lai', 'Tak-Mao Chan']"
500,Pok-Siu Yip,"['Kai-Chung Tse', 'King-Men Hui', 'Fu-Keung Li', 'Kwok-Yung Yuen', 'Kar-Neng Lai', 'Tak-Mao Chan']"
501,King-Men Hui,"['Kai-Chung Tse', 'Pok-Siu Yip', 'Fu-Keung Li', 'Kwok-Yung Yuen', 'Kar-Neng Lai', 'Tak-Mao Chan']"
502,Fu-Keung Li,"['Kai-Chung Tse', 'Pok-Siu Yip', 'King-Men Hui', 'Kwok-Yung Yuen', 'Kar-Neng Lai', 'Tak-Mao Chan']"
503,Kwok-Yung Yuen,"['Kai-Chung Tse', 'Pok-Siu Yip', 'King-Men Hui', 'Fu-Keung Li', 'Kar-Neng Lai', 'Tak-Mao Chan', 'Vincent C C Cheng', 'Alan K L Wu', 'Ivan F N Hung', 'Bone S F Tang', 'Rodney A Lee', 'Susanna K P Lau', 'Patrick C Y Woo']"
504,Kar-Neng Lai,"['Kai-Chung Tse', 'Pok-Siu Yip', 'King-Men Hui', 'Fu-Keung Li', 'Kwok-Yung Yuen', 'Tak-Mao Chan']"
505,Tak-Mao Chan,"['Kai-Chung Tse', 'Pok-Siu Yip', 'King-Men Hui', 'Fu-Keung Li', 'Kwok-Yung Yuen', 'Kar-Neng Lai']"
506,J Koko,"['A Moussavou', 'C Orima', 'C Seilhan', 'A Lemba-Abaka', 'S Damas']"
507,A Moussavou,"['J Koko', 'C Orima', 'C Seilhan', 'A Lemba-Abaka', 'S Damas']"
508,C Orima,"['J Koko', 'A Moussavou', 'C Seilhan', 'A Lemba-Abaka', 'S Damas']"
509,C Seilhan,"['J Koko', 'A Moussavou', 'C Orima', 'A Lemba-Abaka', 'S Damas']"
510,A Lemba-Abaka,"['J Koko', 'A Moussavou', 'C Orima', 'C Seilhan', 'S Damas']"
511,S Damas,"['J Koko', 'A Moussavou', 'C Orima', 'C Seilhan', 'A Lemba-Abaka']"
512,C N Thornley,"['M G Baker', 'P Weinstein', 'E W Maas']"
